11,3,3,0
110,1,1,3
1102,1,1,4
14,1,1,5
17,2,2,6
1970,2,2,8
1973,5,3,10
1976,4,3,13
1978,1,1,16
1982,1,1,17
1983,3,3,18
1990,2,2,21
1996,3,3,23
200,1,1,26
24,1,1,27
25,1,1,28
3000,1,1,29
31,2,2,30
3197,1,1,32
4000,1,1,33
80,3,2,34
82,3,3,36
83,4,2,39
abbreviated,1,1,41
abel,2,2,42
about,4,3,44
abroad,1,1,47
absolute,1,1,48
absorb,1,1,49
abuse,1,1,50
accepted,1,1,51
according,1,1,52
account,1,1,53
accredited,1,1,54
accused,3,2,55
acting,2,2,57
action,4,3,59
active,1,1,62
activity,1,1,63
adding,1,1,64
additional,1,1,65
affecting,1,1,66
after,8,4,67
against,11,4,71
agent,1,1,75
ago,1,1,76
agreed,1,1,77
agreement,1,1,78
aid,1,1,79
aire,1,1,80
all,2,2,81
allegation,2,2,83
alleged,1,1,85
allegedly,1,1,86
allende,4,3,87
allow,1,1,90
already,2,2,91
also,11,4,93
alter,1,1,97
although,1,1,98
ambassador,4,3,99
america,3,2,102
american,5,4,104
amnesty,4,2,108
among,1,1,110
amusement,1,1,111
analyst,1,1,112
annotation,4,2,113
announced,1,1,115
anonymously,1,1,116
another,5,5,117
anti,2,2,122
anticipating,1,1,124
any,1,1,125
anywhere,1,1,126
ap,3,3,127
apparent,1,1,130
appear,1,1,131
applauded,1,1,132
approved,1,1,133
april,1,1,134
are,5,3,135
argentina,18,5,138
argentine,1,1,143
argued,2,1,144
arguing,1,1,145
armed,2,2,146
army,3,3,148
around,2,2,151
arrest,26,6,153
arrested,4,4,159
arrived,1,1,163
artaza,4,2,164
asked,2,1,166
association,1,1,167
at,9,4,168
attempting,1,1,172
attending,4,3,173
august,1,1,176
augusto,6,5,177
authoritarian,1,1,182
authority,9,4,183
avoid,1,1,187
away,1,1,188
aznar,3,1,189
balkan,1,1,190
baltasar,3,3,191
based,1,1,194
basque,1,1,195
be,9,4,196
bear,1,1,200
bearing,1,1,201
became,1,1,202
because,2,2,203
been,8,4,205
before,5,3,209
began,4,3,212
behind,1,1,215
being,6,4,216
bench,1,1,220
benefited,1,1,221
between,2,2,222
binghamton,2,1,224
bitter,1,1,225
blair,1,1,226
bloody,2,2,227
bodyguard,1,1,229
both,2,1,230
brazil,1,1,231
break,1,1,232
breakfast,1,1,233
breaking,1,1,234
bridge,2,2,235
bring,1,1,237
britain,7,3,238
british,21,6,241
broadcast,2,1,247
broaden,1,1,248
brought,1,1,249
bueno,1,1,250
building,2,1,251
bunting,1,1,252
burned,1,1,253
business,1,1,254
cabinet,1,1,255
called,2,2,256
calling,1,1,258
calm,1,1,259
came,2,2,260
campaign,2,2,262
can,5,2,264
candidate,3,1,266
cannon,1,1,267
cannot,1,1,268
career,1,1,269
carlo,1,1,270
carried,2,1,271
case,13,3,272
castellon,4,2,275
castro,10,2,277
cautious,1,1,279
celebrating,1,1,280
center,1,1,281
century,1,1,282
certainly,1,1,283
challenged,1,1,284
charge,5,4,285
charged,2,2,289
chief,3,3,291
chile,28,6,294
chilean,21,6,300
christian,1,1,306
citizen,6,3,307
city,1,1,310
civilian,3,2,311
claim,1,1,313
clear,4,4,314
clerk,1,1,318
clinic,5,2,319
clip,1,1,321
close,1,1,322
closer,1,1,323
coalition,1,1,324
command,3,2,325
commander,2,2,327
comment,2,2,329
committed,4,3,331
committee,1,1,334
communist,3,1,335
compared,1,1,336
complained,1,1,337
complicating,1,1,338
conclude,1,1,339
condor,4,3,340
confirm,2,2,343
confused,1,1,345
conservative,3,2,346
consider,1,1,348
constitution,2,2,349
continued,1,1,351
controversy,1,1,352
convention,2,2,353
cooperate,1,1,355
cooperated,1,1,356
coordinated,2,2,357
corbyn,1,1,359
corruption,1,1,360
could,5,2,361
couldnt,1,1,363
council,1,1,364
counterdemonstrator,1,1,365
country,6,3,366
coup,2,2,369
court,13,5,371
cover,1,1,376
covered,1,1,377
covering,2,2,378
creating,2,2,380
crime,7,3,382
criminal,5,3,385
critic,1,1,388
criticized,3,2,389
cuba,2,2,391
current,1,1,393
custom,1,1,394
date,3,2,395
day,3,3,397
death,5,4,400
debate,1,1,404
dec,2,2,405
decade,1,1,407
decidedly,1,1,408
decision,2,2,409
defense,1,1,411
deflect,1,1,412
delicate,1,1,413
demanded,1,1,414
demanding,1,1,415
democrat,1,1,416
democratically,1,1,417
demonstration,1,1,418
demonstrator,1,1,419
despite,1,1,420
detail,1,1,421
detain,1,1,422
detained,2,2,423
detention,1,1,425
determined,1,1,426
devil,1,1,427
dictator,8,5,428
dictatorial,1,1,433
dictatorship,3,3,434
did,2,2,437
died,1,1,439
dimension,1,1,440
diplomat,1,1,441
diplomatic,9,6,442
directed,1,1,448
disagree,1,1,449
disagreed,1,1,450
disappearance,6,4,451
disappeared,1,1,455
disapprove,1,1,456
disc,2,2,457
discussion,1,1,459
disorder,1,1,460
display,1,1,461
document,2,2,462
down,1,1,464
drafted,2,2,465
drawn,1,1,467
drug,1,1,468
during,10,4,469
each,1,1,473
earlier,1,1,474
early,1,1,475
earned,1,1,476
easily,1,1,477
economic,1,1,478
edgardo,1,1,479
eduardo,3,3,480
effectively,1,1,483
effort,1,1,484
egg,1,1,485
eight,2,2,486
elected,4,3,488
election,2,1,491
embassy,1,1,492
embrace,1,1,493
encouraged,1,1,494
end,3,3,495
ended,2,2,498
endicott,4,2,500
endwell,4,2,502
england,1,1,504
enjoy,1,1,505
entered,1,1,506
equally,1,1,507
era,1,1,508
especially,1,1,509
established,2,2,510
establishment,1,1,512
european,1,1,513
even,1,1,514
evening,1,1,515
exile,1,1,516
expanding,1,1,517
explain,1,1,518
explosive,1,1,519
expose,1,1,520
expressed,3,2,521
extradite,1,1,523
extradition,3,3,524
extraterritorial,1,1,527
faced,1,1,528
falkland,1,1,529
familiar,1,1,530
family,1,1,531
far,1,1,532
favor,1,1,533
feet,1,1,534
felt,1,1,535
fence,1,1,536
fernandez,1,1,537
fernando,2,2,538
few,1,1,540
fidel,2,2,541
figure,1,1,543
filed,4,2,544
filing,1,1,546
finished,1,1,547
first,3,2,548
five,1,1,550
flag,1,1,551
flimsy,1,1,552
follow,2,2,553
followed,1,1,555
following,1,1,556
force,2,2,557
foreign,7,4,559
forget,1,1,563
formal,1,1,564
formalize,1,1,565
former,10,5,566
forward,1,1,571
frei,5,3,572
frequently,2,2,575
friday,4,3,577
front,2,2,580
fruit,1,1,582
galtieri,1,1,583
garce,1,1,584
garcia,3,3,585
garzon,18,3,588
gathered,1,1,591
gen,5,4,592
general,5,2,596
generally,1,1,598
geneva,1,1,599
genocidal,1,1,600
genocide,3,2,601
gently,1,1,603
get,1,1,604
getting,1,1,605
ghastly,1,1,606
given,3,2,607
giving,1,1,609
glady,1,1,610
good,1,1,611
governing,2,2,612
government,18,6,614
granted,1,1,620
grave,1,1,621
great,1,1,622
group,3,2,623
grow,1,1,625
hampered,1,1,626
handed,2,1,627
handling,2,2,628
happened,2,2,630
happy,1,1,632
harbor,1,1,633
having,1,1,634
he,44,6,635
head,1,1,641
headline,12,6,642
health,1,1,648
hearing,3,2,649
heated,1,1,651
held,5,3,652
help,1,1,655
henriquez,1,1,656
here,6,3,657
herniated,2,2,660
hi,27,5,662
high,4,2,667
him,12,4,669
hiriart,1,1,673
hold,1,1,674
home,1,1,675
hospital,3,3,676
hotel,1,1,679
hour,1,1,680
however,1,1,681
human,13,4,682
humanity,2,2,686
hundred,3,3,688
iberian,1,1,691
ibero,4,3,692
if,1,1,695
immediate,1,1,696
immediately,1,1,697
immunity,8,3,698
implicated,2,2,701
importance,1,1,703
important,1,1,704
impunity,1,1,705
incarnate,1,1,706
incident,1,1,707
include,1,1,708
included,1,1,709
including,4,2,710
independent,2,2,712
indication,1,1,714
influential,1,1,715
informed,1,1,716
insisting,1,1,717
instead,1,1,718
insure,1,1,719
